pipeline_id,pipe_age_years,material,diameter_mm,length_m,previous_failures,days_since_last_maintenance,complaints_last_30_days,leakage_complaints_30d,failure_next_12_months
HIST-PIPE-00130,12,Ductile Iron,400,313.3,0,592,0,0,0
HIST-PIPE-00131,58,Steel,150,322.9,1,2231,1,1,0
HIST-PIPE-00132,28,Ductile Iron,150,124.4,0,1648,1,1,0
HIST-PIPE-00133,45,Ductile Iron,100,324.2,0,563,0,0,0
HIST-PIPE-00134,54,Cast Iron,250,76.3,1,313,7,5,1
HIST-PIPE-00135,60,Steel,200,57.6,3,188,0,0,1
HIST-PIPE-00136,28,PVC,600,133.9,2,313,3,1,0
HIST-PIPE-00137,42,PVC,250,616.3,0,32,0,0,0
HIST-PIPE-00138,41,Ductile Iron,300,373.8,0,609,1,1,0
HIST-PIPE-00139,10,PVC,100,836.5,0,1389,1,0,0
HIST-PIPE-00140,44,PVC,250,222.4,0,767,1,0,0
HIST-PIPE-00141,53,Cast Iron,200,200.7,2,707,3,2,0
HIST-PIPE-00142,52,Cast Iron,150,471.4,2,244,1,1,0
HIST-PIPE-00143,48,Cast Iron,300,232.9,3,419,0,0,0
HIST-PIPE-00144,49,Cast Iron,600,218.0,0,2206,0,0,0
HIST-PIPE-00145,54,Cast Iron,100,269.6,3,995,1,1,1
HIST-PIPE-00146,28,PVC,300,92.7,0,42,1,0,0
HIST-PIPE-00147,68,Cast Iron,500,129.3,3,163,0,0,0
HIST-PIPE-00148,56,Cast Iron,150,373.6,1,426,4,2,0
HIST-PIPE-00149,33,Ductile Iron,150,378.2,0,1215,1,0,0
HIST-PIPE-00150,32,Ductile Iron,300,362.3,2,1588,1,1,0
HIST-PIPE-00151,35,Steel,500,128.0,3,268,9,7,0
HIST-PIPE-00152,48,Steel,500,250.2,2,138,1,0,0
HIST-PIPE-00153,58,Steel,100,938.4,1,99,0,0,0
HIST-PIPE-00154,68,Cast Iron,400,740.5,4,67,0,0,1
HIST-PIPE-00155,33,PVC,200,335.3,0,116,0,0,0
HIST-PIPE-00156,23,Ductile Iron,200,858.8,0,66,0,0,0
HIST-PIPE-00157,29,Ductile Iron,400,443.4,0,447,0,0,0
HIST-PIPE-00158,26,Ductile Iron,300,236.0,1,908,4,0,0
HIST-PIPE-00159,50,Ductile Iron,200,574.3,1,257,0,0,1
HIST-PIPE-00160,33,Ductile Iron,150,175.8,0,479,0,0,0
HIST-PIPE-00161,31,Steel,200,725.0,1,1387,0,0,0
HIST-PIPE-00162,34,Concrete,150,189.9,1,1682,1,0,0
HIST-PIPE-00163,30,Steel,250,603.9,1,283,3,2,0
HIST-PIPE-00164,25,PVC,400,165.6,0,839,2,0,0
HIST-PIPE-00165,67,Concrete,150,920.8,5,58,3,3,0
HIST-PIPE-00166,26,Ductile Iron,300,121.5,0,544,0,0,0
HIST-PIPE-00167,49,Steel,150,494.3,0,643,1,1,0
HIST-PIPE-00168,24,PVC,100,233.9,0,499,0,0,0
HIST-PIPE-00169,46,Cast Iron,100,56.5,1,128,2,1,0
HIST-PIPE-00170,66,Ductile Iron,200,191.1,0,853,1,1,0
HIST-PIPE-00171,27,PVC,200,129.3,0,169,0,0,0
HIST-PIPE-00172,23,PVC,100,333.6,1,1567,6,2,0
HIST-PIPE-00173,37,Ductile Iron,250,155.3,1,63,4,4,0
HIST-PIPE-00174,19,PVC,200,76.4,0,693,2,0,0
HIST-PIPE-00175,23,PVC,800,1120.8,1,310,0,0,0
HIST-PIPE-00176,75,Ductile Iron,100,702.8,0,324,3,3,0
HIST-PIPE-00177,54,Cast Iron,250,66.2,6,267,0,0,0
HIST-PIPE-00178,23,Ductile Iron,100,160.8,0,292,0,0,0
HIST-PIPE-00179,59,Cast Iron,100,398.4,1,199,2,1,1
HIST-PIPE-00180,29,Concrete,100,185.7,0,1202,0,0,0
HIST-PIPE-00181,48,PVC,100,165.9,0,706,0,0,0
HIST-PIPE-00182,38,Ductile Iron,100,367.1,0,913,1,0,0
HIST-PIPE-00183,55,Cast Iron,100,125.6,1,195,3,0,0
HIST-PIPE-00184,50,Cast Iron,100,416.0,3,170,1,1,0
HIST-PIPE-00185,33,PVC,250,82.7,1,370,0,0,0
HIST-PIPE-00186,24,Concrete,200,187.5,0,779,1,0,0
HIST-PIPE-00187,19,PVC,150,93.0,0,2198,0,0,0
HIST-PIPE-00188,48,Ductile Iron,100,173.1,1,328,2,2,0
HIST-PIPE-00189,15,Ductile Iron,150,451.9,1,1191,2,0,0
HIST-PIPE-00190,39,Ductile Iron,200,555.2,0,1833,5,5,1
HIST-PIPE-00191,39,Ductile Iron,800,104.8,0,5,2,1,0
HIST-PIPE-00192,36,PVC,200,530.0,0,844,0,0,0
HIST-PIPE-00193,43,Ductile Iron,100,80.8,0,390,0,0,0
HIST-PIPE-00194,26,Concrete,100,135.4,0,571,1,0,0
HIST-PIPE-00195,20,Ductile Iron,150,292.8,0,465,5,2,0
HIST-PIPE-00196,46,Cast Iron,200,1292.4,0,1424,5,3,0
HIST-PIPE-00197,31,Ductile Iron,250,1321.5,0,135,0,0,0
HIST-PIPE-00198,50,Cast Iron,200,277.8,4,843,7,6,1
HIST-PIPE-00199,40,Ductile Iron,200,622.1,1,199,0,0,0
HIST-PIPE-00200,47,Cast Iron,400,332.1,4,1281,4,2,1
HIST-PIPE-00201,32,PVC,100,537.6,1,1363,0,0,0
HIST-PIPE-00202,29,Ductile Iron,100,420.5,0,157,1,1,0
HIST-PIPE-00203,70,PVC,400,468.1,2,347,5,4,1
HIST-PIPE-00204,73,Cast Iron,200,252.7,9,609,1,0,0
HIST-PIPE-00205,64,Cast Iron,200,676.7,2,53,0,0,0
HIST-PIPE-00206,44,Concrete,400,256.5,0,494,0,0,1
HIST-PIPE-00207,38,Ductile Iron,500,478.2,1,622,1,1,0
HIST-PIPE-00208,14,PVC,200,764.7,0,1442,1,0,1
HIST-PIPE-00209,46,Cast Iron,300,423.1,1,323,0,0,0
HIST-PIPE-00210,27,Ductile Iron,200,299.5,1,177,0,0,0
HIST-PIPE-00211,17,Ductile Iron,100,313.0,0,461,2,2,0
HIST-PIPE-00212,43,PVC,500,481.8,0,1185,0,0,0
HIST-PIPE-00213,72,Concrete,300,83.8,2,671,0,0,0
HIST-PIPE-00214,17,Ductile Iron,300,404.2,0,1217,1,0,0
HIST-PIPE-00215,39,Concrete,200,214.5,0,136,1,1,0
HIST-PIPE-00216,33,Ductile Iron,500,100.8,0,1359,1,0,0
HIST-PIPE-00217,47,Ductile Iron,200,902.8,2,585,0,0,0
HIST-PIPE-00218,51,Cast Iron,250,290.9,2,241,0,0,0
HIST-PIPE-00219,29,PVC,100,263.7,0,62,0,0,0
HIST-PIPE-00220,31,Steel,100,323.6,0,52,5,2,0
HIST-PIPE-00221,51,Cast Iron,200,391.0,2,814,7,5,0
HIST-PIPE-00222,25,Ductile Iron,200,125.8,0,1898,0,0,0
HIST-PIPE-00223,18,PVC,300,393.7,0,790,0,0,0
HIST-PIPE-00224,43,Ductile Iron,150,202.1,1,936,2,1,0
HIST-PIPE-00225,38,Ductile Iron,300,489.0,0,151,1,0,0
HIST-PIPE-00226,41,Ductile Iron,400,567.2,1,260,2,1,0
HIST-PIPE-00227,58,Steel,300,52.6,4,1205,4,2,0
HIST-PIPE-00228,53,Concrete,250,491.0,2,509,5,3,1
HIST-PIPE-00229,38,Cast Iron,300,202.1,1,17,2,1,0
HIST-PIPE-00230,39,Cast Iron,400,176.7,4,209,0,0,0
HIST-PIPE-00231,23,Ductile Iron,200,213.3,1,1336,1,1,0
HIST-PIPE-00232,15,PVC,300,350.0,0,1025,0,0,0
HIST-PIPE-00233,40,Ductile Iron,200,92.6,0,141,2,1,0
HIST-PIPE-00234,50,Ductile Iron,200,469.4,0,204,1,1,0
HIST-PIPE-00235,59,Cast Iron,100,256.2,0,2165,4,2,1
HIST-PIPE-00236,61,Concrete,400,111.0,5,392,0,0,0
HIST-PIPE-00237,61,Ductile Iron,100,299.2,1,115,6,5,0
HIST-PIPE-00238,52,PVC,150,348.7,0,506,1,1,0
HIST-PIPE-00239,30,PVC,150,198.8,2,417,4,3,0
HIST-PIPE-00240,32,Steel,100,854.6,0,2379,1,1,0
HIST-PIPE-00241,54,Cast Iron,500,468.2,2,763,6,4,1
HIST-PIPE-00242,43,Concrete,600,428.9,0,423,1,0,0
HIST-PIPE-00243,55,Ductile Iron,400,69.2,3,342,0,0,0
HIST-PIPE-00244,42,PVC,150,293.7,0,661,0,0,0
HIST-PIPE-00245,38,Ductile Iron,100,715.8,0,518,0,0,0
HIST-PIPE-00246,40,PVC,100,436.2,0,761,0,0,0
HIST-PIPE-00247,31,Ductile Iron,300,142.8,0,523,3,1,0
HIST-PIPE-00248,65,Ductile Iron,150,741.2,2,1853,0,0,0
HIST-PIPE-00249,31,Concrete,400,211.5,0,3,3,0,0
HIST-PIPE-00250,47,Steel,400,912.9,0,584,5,5,0
HIST-PIPE-00251,29,PVC,150,301.3,0,1023,0,0,0
HIST-PIPE-00252,64,Cast Iron,250,590.6,4,72,2,1,0
HIST-PIPE-00253,19,PVC,200,381.3,2,60,0,0,0
HIST-PIPE-00254,25,Steel,100,170.6,1,63,2,0,0
HIST-PIPE-00255,53,Cast Iron,200,421.3,2,2081,2,1,0
HIST-PIPE-00256,44,Ductile Iron,400,53.4,1,1311,0,0,0
HIST-PIPE-00257,31,PVC,500,681.1,0,76,0,0,0
HIST-PIPE-00258,51,Cast Iron,100,1231.7,1,764,0,0,0
HIST-PIPE-00259,38,Ductile Iron,150,131.2,1,594,2,1,0
HIST-PIPE-00260,33,Ductile Iron,250,802.9,0,95,0,0,0
HIST-PIPE-00261,33,Ductile Iron,150,114.3,0,497,3,1,0
HIST-PIPE-00262,59,Cast Iron,150,286.7,5,31,5,4,0
HIST-PIPE-00263,51,Cast Iron,300,171.2,4,4,4,3,0
HIST-PIPE-00264,49,Steel,300,124.5,0,245,0,0,0
HIST-PIPE-00265,41,PVC,250,543.3,0,1739,2,2,0
HIST-PIPE-00266,38,Ductile Iron,400,625.1,1,560,0,0,0
HIST-PIPE-00267,28,PVC,200,688.4,1,21,1,1,0
HIST-PIPE-00268,61,Ductile Iron,300,53.0,1,27,1,1,0
HIST-PIPE-00269,18,PVC,100,709.0,1,78,1,1,0
HIST-PIPE-00270,65,Concrete,600,68.5,5,245,2,1,1
HIST-PIPE-00271,43,Ductile Iron,500,258.2,2,116,2,1,0
HIST-PIPE-00272,49,Steel,400,117.4,1,183,2,2,0
HIST-PIPE-00273,33,Steel,200,880.2,4,114,1,0,0
HIST-PIPE-00274,12,PVC,200,350.9,0,886,3,1,0
HIST-PIPE-00275,39,Ductile Iron,100,271.2,0,355,2,0,0
HIST-PIPE-00276,33,Steel,100,255.6,1,742,2,0,0
HIST-PIPE-00277,34,Ductile Iron,150,231.4,1,244,1,0,0
HIST-PIPE-00278,15,PVC,100,274.8,1,360,1,0,0
HIST-PIPE-00279,52,Cast Iron,200,341.8,3,685,0,0,0
HIST-PIPE-00280,64,Cast Iron,150,644.5,6,54,6,5,1
HIST-PIPE-00281,71,Ductile Iron,150,145.0,1,231,1,1,0
HIST-PIPE-00282,45,PVC,100,621.0,0,2327,0,0,0
HIST-PIPE-00283,27,Ductile Iron,200,671.2,0,1245,1,0,0
HIST-PIPE-00284,57,Ductile Iron,250,716.9,3,1967,6,5,1
HIST-PIPE-00285,37,Ductile Iron,150,1044.0,1,28,1,0,0
HIST-PIPE-00286,47,Ductile Iron,100,1147.9,1,591,3,1,0
HIST-PIPE-00287,29,Steel,250,90.0,0,211,1,1,0
HIST-PIPE-00288,26,Ductile Iron,100,785.5,2,1192,1,0,0
HIST-PIPE-00289,46,Steel,300,703.6,1,644,0,0,0
HIST-PIPE-00290,50,PVC,200,215.9,1,152,3,2,0
HIST-PIPE-00291,43,PVC,150,461.4,0,50,2,1,0
HIST-PIPE-00292,53,Steel,400,964.7,0,886,0,0,0
HIST-PIPE-00293,57,Ductile Iron,100,83.5,1,1980,3,3,1
HIST-PIPE-00294,38,Concrete,250,203.2,1,263,2,1,0
HIST-PIPE-00295,55,Steel,250,1327.5,3,420,10,7,0
HIST-PIPE-00296,54,Cast Iron,100,328.1,2,971,2,1,0
HIST-PIPE-00297,39,Ductile Iron,250,83.7,0,612,0,0,0
HIST-PIPE-00298,62,Cast Iron,250,1185.8,4,736,0,0,0
HIST-PIPE-00299,18,PVC,500,865.6,2,188,3,2,0
HIST-PIPE-00300,31,PVC,250,624.7,1,73,3,2,0
HIST-PIPE-00301,53,Concrete,200,602.2,1,468,0,0,0
HIST-PIPE-00302,68,Cast Iron,400,282.9,3,632,2,2,1
HIST-PIPE-00303,41,Ductile Iron,150,778.5,2,1016,2,1,0
HIST-PIPE-00304,43,PVC,400,177.7,2,57,1,1,0
HIST-PIPE-00305,27,Steel,400,205.4,1,134,1,1,0
HIST-PIPE-00306,54,Steel,250,135.2,1,189,1,1,0
HIST-PIPE-00307,44,Ductile Iron,150,230.6,0,553,0,0,0
HIST-PIPE-00308,54,Steel,200,143.1,2,391,5,4,0
HIST-PIPE-00309,46,Ductile Iron,400,195.3,1,866,2,0,0
HIST-PIPE-00310,46,Ductile Iron,250,460.3,0,1395,5,1,0
HIST-PIPE-00311,39,Steel,400,246.8,3,665,0,0,0
HIST-PIPE-00312,40,Concrete,150,560.8,1,1409,0,0,0
HIST-PIPE-00313,51,Cast Iron,150,278.2,1,778,2,2,1
HIST-PIPE-00314,45,Cast Iron,150,102.5,2,625,2,0,0
HIST-PIPE-00315,31,Cast Iron,200,524.3,2,509,4,1,0
HIST-PIPE-00316,29,Ductile Iron,200,73.9,1,453,0,0,0
HIST-PIPE-00317,23,Ductile Iron,400,1049.2,0,117,1,0,0
HIST-PIPE-00318,26,PVC,100,693.6,0,434,0,0,0
HIST-PIPE-00319,34,PVC,200,1204.8,1,1001,1,0,0
HIST-PIPE-00320,51,Ductile Iron,150,150.1,0,574,0,0,0
HIST-PIPE-00321,22,PVC,500,279.7,0,349,1,0,0
HIST-PIPE-00322,27,PVC,300,125.1,0,1808,0,0,0
HIST-PIPE-00323,36,Ductile Iron,200,242.1,0,14,4,2,0
HIST-PIPE-00324,25,Steel,250,147.8,0,86,0,0,0
HIST-PIPE-00325,27,Cast Iron,300,720.5,1,1452,1,0,0
HIST-PIPE-00326,32,Ductile Iron,100,95.4,1,84,4,1,0
HIST-PIPE-00327,26,Steel,250,139.3,1,520,0,0,0
HIST-PIPE-00328,58,Cast Iron,100,157.3,1,1888,2,1,0
HIST-PIPE-00329,24,Ductile Iron,100,519.0,0,731,0,0,0
HIST-PIPE-00330,37,Steel,200,398.3,2,394,4,3,0
HIST-PIPE-00331,10,PVC,600,101.3,0,49,1,1,0
HIST-PIPE-00332,41,Concrete,500,375.7,1,158,0,0,0
HIST-PIPE-00333,57,Cast Iron,400,705.8,6,912,2,2,0
HIST-PIPE-00334,9,PVC,100,260.7,1,684,0,0,0
HIST-PIPE-00335,38,Steel,400,381.2,1,599,0,0,0
HIST-PIPE-00336,55,Cast Iron,300,315.7,7,546,11,10,1
HIST-PIPE-00337,51,Steel,200,205.0,1,248,9,4,0
HIST-PIPE-00338,16,PVC,150,50.9,0,622,2,0,0
HIST-PIPE-00339,30,Ductile Iron,300,122.2,1,1922,2,2,0
HIST-PIPE-00340,36,PVC,100,1079.2,0,717,2,2,0
HIST-PIPE-00341,17,PVC,250,203.3,0,1300,2,1,0
HIST-PIPE-00342,28,Ductile Iron,250,173.4,0,813,1,1,0
HIST-PIPE-00343,35,Cast Iron,200,383.1,1,935,0,0,0
HIST-PIPE-00344,40,Ductile Iron,400,869.5,1,96,2,0,0
HIST-PIPE-00345,31,Concrete,150,176.1,2,67,0,0,0
HIST-PIPE-00346,23,PVC,200,138.4,0,240,1,1,0
HIST-PIPE-00347,12,Ductile Iron,300,862.8,0,279,1,0,0
HIST-PIPE-00348,43,PVC,250,569.8,2,708,0,0,0
HIST-PIPE-00349,43,Steel,200,474.4,0,354,1,1,0
HIST-PIPE-00350,54,Concrete,150,335.1,0,282,3,3,0
HIST-PIPE-00351,15,Cast Iron,150,244.0,1,3000,1,0,1
HIST-PIPE-00352,29,Ductile Iron,300,405.5,0,583,2,1,0
HIST-PIPE-00353,48,Steel,100,135.6,1,47,0,0,1
HIST-PIPE-00354,52,Concrete,250,645.1,1,15,2,2,0
HIST-PIPE-00355,65,Cast Iron,150,238.5,5,1027,0,0,1
HIST-PIPE-00356,10,PVC,250,541.9,0,363,0,0,0
HIST-PIPE-00357,54,Cast Iron,100,634.4,0,1656,1,0,0
HIST-PIPE-00358,46,Steel,150,77.4,2,966,0,0,0
HIST-PIPE-00359,63,Cast Iron,300,443.9,2,1209,0,0,0
HIST-PIPE-00360,18,Ductile Iron,300,176.2,0,148,1,1,1
HIST-PIPE-00361,23,Cast Iron,100,205.5,0,268,2,2,0
HIST-PIPE-00362,40,Steel,150,512.8,0,784,3,2,0
HIST-PIPE-00363,28,Cast Iron,200,1154.5,0,1197,2,0,0
HIST-PIPE-00364,61,Concrete,200,619.8,1,1262,6,4,1
HIST-PIPE-00365,51,PVC,300,170.7,2,298,0,0,0
HIST-PIPE-00366,42,PVC,100,480.7,1,622,4,3,0
HIST-PIPE-00367,63,Cast Iron,100,189.0,2,3,2,1,0
HIST-PIPE-00368,36,PVC,100,252.7,0,1821,1,0,0
HIST-PIPE-00369,47,Steel,100,96.0,3,232,2,2,0
HIST-PIPE-00370,29,Ductile Iron,100,679.1,1,86,0,0,0
HIST-PIPE-00371,41,Ductile Iron,500,414.4,3,1034,8,6,0
HIST-PIPE-00372,50,Concrete,100,745.6,3,897,7,6,0
HIST-PIPE-00373,29,Ductile Iron,100,138.5,1,299,2,2,0
HIST-PIPE-00374,37,Concrete,200,98.5,0,344,0,0,0
HIST-PIPE-00375,46,Cast Iron,500,641.5,1,857,0,0,0
HIST-PIPE-00376,25,Steel,600,789.1,0,15,1,1,0
HIST-PIPE-00377,51,PVC,250,116.0,0,2210,3,2,0
HIST-PIPE-00378,47,Ductile Iron,100,409.4,1,1874,3,3,0
HIST-PIPE-00379,36,Ductile Iron,100,113.1,1,342,0,0,0
HIST-PIPE-00380,43,Steel,150,55.1,1,956,0,0,0
HIST-PIPE-00381,69,Steel,100,323.6,0,658,1,1,0
